TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;13,81;;-7,48;1,46;0,61;29,80;3,29;-18,37;41,81;56,94;15,01;0,52;1,37;-10,51;-0,77;0,78;-19,51;-8,11;1,34;0,42;0,58;0,44;1,84;;299.325,20;9,47;-1,85;0,31;1.638.355.501,60
ABCB4;20,68;7,38;6,94;0,79;0,07;17,76;12,53;10,94;6,06;6,07;;;0,76;1,55;-0,08;2,58;11,43;1,05;;0,09;0,91;0,10;20,08;11,85;13.320.227,35;26,07;2,98;-0,56;5.066.843.508,47
ABEV3;12,39;5,88;14,02;1,99;1,33;50,98;23,92;16,92;9,92;9,08;-0,89;-0,18;2,37;27,94;-1,87;1,20;14,21;9,47;16,38;0,67;0,33;0,56;9,68;4,87;320.498.927,85;6,23;0,88;-1,86;196.497.986.979,92
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;5,66;;-2,00;0,34;0,10;10,95;3,55;-10,06;5,68;14,92;9,24;0,55;0,20;0,86;-0,27;1,22;-16,91;-4,90;1,18;0,29;0,71;0,49;34,34;;1.544.190,80;16,70;-2,83;-0,02;350.979.107,40
AESB3;8,12;0,92;-16,72;1,17;0,23;27,76;21,64;-7,77;6,00;18,58;12,58;2,46;1,30;-6,33;-0,29;0,84;-7,01;-1,40;4,33;0,20;0,75;0,18;;;50.874.704,50;6,93;-0,49;0,06;4.904.883.417,84
AFLT3;7,21;1,76;20,13;1,84;1,45;58,08;53,92;41,22;15,39;14,67;-0,72;-0,09;8,30;15,92;-1,92;1,59;9,13;7,19;8,69;0,79;0,21;0,17;14,85;-0,02;1.818,35;3,92;0,36;-1,11;454.840.687,00
AGRO3;24,00;6,48;8,38;1,13;0,68;34,91;24,45;23,93;8,20;11,02;2,83;0,39;2,00;4,31;-0,98;2,09;13,50;8,16;8,56;0,60;0,40;0,34;13,78;10,70;6.284.589,05;21,23;2,87;0,57;2.464.402.656,00
AGXY3;0,40;;-0,20;0,14;0,02;9,19;-0,76;-6,90;-1,80;-20,30;-18,54;1,49;0,01;-0,23;-0,05;0,91;-72,76;-7,88;-11,71;0,11;0,89;1,14;;;90.350,60;2,77;-2,02;0,00;99.271.994,64
AHEB3;38,00;;2,27;2,03;0,63;28,07;22,41;20,02;2,03;1,59;-0,43;-0,43;0,45;1,60;-1,58;2,89;89,31;27,74;92,71;0,31;0,69;1,39;50,82;;1.520,00;18,75;16,75;0,05;324.327.929,50
